タレント名,知名度％,知名度,人気度％,人気度,ドラマ関心度（シリアス）％,ドラマ関心度（シリアス）,ドラマ関心度（コメディ）％,ドラマ関心度（コメディ）,バラエティ関心度％,バラエティ関心度,映画関心度（シリアス）％,映画関心度（シリアス）,映画関心度（コメディ）％,映画関心度（コメディ）,雑誌関心度％,雑誌関心度,CM総合,有効回答者数,有効回答者数（20代）,有効回答者数（30代）,有効回答者数（40代）,有効回答者数（50代）
中島みゆき(なかじまみゆき)(歌手),50.537636,1.76344086,42.553192,2.510638298,21.276596,1.574468085,14.893617,1.446808511,25.531916,1.744680851,8.510638,1.234042553,4.255319,1.191489362,6.382979,1.14893617,10.425532,93,17,23,23,30
榊原郁恵(さかきばらいくえ)(俳優),51.851852,1.617283951,57.14286,2.738095238,21.428572,1.666666667,21.428572,1.642857143,26.190477,1.785714286,2.3809524,1.095238095,4.7619047,1.142857143,4.7619047,1.047619048,13.809523,81,16,18,21,25
近藤春菜(こんどうはるな)(芸人)(ハリセンボン),56.842106,1.778947368,46.296295,2.574074074,12.962963,1.314814815,16.666668,1.351851852,40.74074,1.981481481,9.259259,1.092592593,7.4074073,1.074074074,1.8518518,1.018518519,12.407408,95,22,24,25,24
ケンドーコバヤシ(芸人),54.807693,1.692307692,38.59649,2.403508772,12.280702,1.561403509,22.807016,1.736842105,38.59649,2.122807018,7.017544,1.245614035,8.77193,1.298245614,3.508772,1.052631579,8.947368,104,25,26,23,30
指原莉乃(さしはらりの)(タレント)(元AKB48),63.541668,1.822916667,50.81967,2.37704918,16.393442,1.442622951,14.754099,1.442622951,34.42623,1.918032787,4.9180326,1.06557377,6.557377,1.06557377,11.4754095,1.295081967,14.590164,96,24,24,23,25
安田成美(やすだなるみ)(俳優),35.714287,1.19047619,53.333336,2.733333333,36.666668,2.2,36.666668,2.1,40,1.966666667,23.333334,1.7,13.333334,1.633333333,26.666668,1.833333333,22.666668,84,16,19,25,24
木村昴(きむらすばる)(声優),40.909092,1.227272727,58.333332,2.861111111,33.333336,1.972222222,33.333336,1.888888889,50,2.444444444,16.666668,1.5,19.444445,1.416666667,11.111112,1.222222222,18.88889,88,19,20,22,27
久保田利伸(くぼたとしのぶ)(歌手),39.325844,1.415730337,51.428574,2.685714286,17.142859,1.828571429,20,1.885714286,42.857143,2.142857143,11.428572,1.228571429,5.714286,1.114285714,17.142859,1.342857143,13.714287,89,18,21,24,26
高橋英樹(たかはしひでき)(俳優),48,1.59,35.416664,2.5,22.916668,1.979166667,18.75,1.729166667,18.75,1.770833333,8.333334,1.416666667,12.5,1.416666667,4.166667,1.1875,9.375,100,21,23,24,31
大島美幸(おおしまみゆき)(芸人)(森三中),58.139534,1.744186047,38,2.48,8,1.38,18,1.58,34,2,6,1.1,6,1.14,6,1.12,10.8,86,21,16,21,28
研ナオコ(けんなおこ)(歌手/タレント),60.36036,1.774774775,32.83582,2.343283582,8.955224,1.507462687,13.432837,1.597014925,22.38806,1.776119403,8.955224,1.343283582,7.4626865,1.373134328,7.4626865,1.253731343,7.611941,111,29,28,25,29
カズレーザー(芸人)(メイプル超合金),59.80392,1.823529412,47.540985,2.491803279,13.114754,1.327868852,14.754099,1.442622951,42.62295,2.06557377,6.557377,1,4.9180326,1,4.9180326,0.983606557,9.672131,102,23,25,25,27
浅野温子(あさのあつこ)(俳優),39.08046,1.551724138,29.411766,2.382352941,29.411766,2.117647059,23.529411,1.882352941,17.647058,1.764705882,17.647058,1.529411765,14.705883,1.382352941,14.705883,1.441176471,10.588237,87,16,22,24,25
きゃりーぱみゅぱみゅ(歌手),55.172413,1.770114943,31.25,2.291666667,8.333334,1.479166667,12.5,1.520833333,20.833332,1.729166667,6.25,1.270833333,8.333334,1.3125,16.666668,1.541666667,16.666668,87,15,25,21,26
香川照之(かがわてるゆき)(俳優),56.179775,1.887640449,32,2.16,28,1.88,28,1.82,26,1.78,14,1.42,12,1.3,6,1.02,6,89,18,21,24,26
稲森いずみ(いなもりいずみ)(俳優),24.418604,1.069767442,61.904762,2.761904762,42.857143,2.523809524,42.857143,2.476190476,33.333336,2.238095238,9.523809,1.714285714,14.285715,1.761904762,9.523809,1.80952381,17.142857,86,16,21,27,22
羽生結弦(はにゅうゆづる)(フィギュアスケーター),75.82418,2.10989011,33.333336,2.130434783,13.043478,1.420289855,14.492753,1.347826087,28.985506,1.695652174,10.144927,1.217391304,8.695652,1.15942029,10.144927,1.173913043,11.884058,91,21,23,23,24
草刈正雄(くさかりまさお)(俳優),37.5,1.322916667,52.77778,2.694444444,38.88889,2.166666667,27.777779,2,30.555555,2.083333333,11.111112,1.333333333,8.333334,1.277777778,11.111112,1.388888889,10.27778,96,22,22,27,24
羽鳥慎一(はとりしんいち)(元日本テレビアナウンサー),57.14286,1.766233766,47.727272,2.5,18.181818,1.522727273,11.363637,1.363636364,34.090908,1.977272727,4.5454545,1.136363636,4.5454545,1.022727273,4.5454545,1.022727273,10,77,16,19,19,22
綾野剛(あやのごう)(俳優),53.19149,1.680851064,30.000002,2.24,28,2,20,1.86,24,1.78,10,1.4,10,1.38,12,1.36,8.2,94,20,23,22,28
蒼井優(あおいゆう)(俳優),43.617023,1.531914894,41.463413,2.463414634,21.95122,1.731707317,21.95122,1.731707317,24.390244,1.804878049,9.756097,1.463414634,7.317073,1.365853659,14.634146,1.487804878,15.853661,94,20,23,25,26
原田知世(はらだともよ)(俳優),43.18182,1.397727273,60.526318,2.763157895,31.578945,2.026315789,23.684212,1.763157895,21.052631,1.657894737,13.157895,1.394736842,10.526316,1.236842105,13.157895,1.421052632,21.315792,88,17,24,25,22
藤井風(ふじいかぜ)(歌手),13.043478,0.826086957,75,3.25,50,2.25,58.333332,2.5,66.66667,2.666666667,41.666664,2,41.666664,2.166666667,33.333336,1.916666667,21.666666,92,17,25,26,24
ゴールデンボンバー(アーティスト),47.31183,1.516129032,40.909092,2.454545455,11.363637,1.613636364,22.727274,1.727272727,38.636364,2,4.5454545,1.409090909,11.363637,1.477272727,11.363637,1.409090909,14.09091,93,17,23,23,30
ONE OK ROCK(わんおくろっく)(アーティスト),21.428572,1.040816327,71.42857,3,28.57143,1.952380952,28.57143,1.952380952,42.857143,2.238095238,23.809525,1.904761905,14.285715,1.523809524,33.333336,1.857142857,23.333334,98,19,26,22,31
倉科カナ(くらしなかな)(俳優),30.107529,1.182795699,50,2.678571429,32.142857,2.285714286,35.714287,2.285714286,25,2,10.714286,1.642857143,10.714286,1.642857143,14.285715,1.714285714,21.428572,93,17,23,23,30
山寺宏一(やまでらこういち)(声優),40,1.41,60.000004,2.825,22.5,1.675,25,1.7,35,2.1,7.5000005,1.25,12.5,1.375,7.5000005,0.975,9.75,100,19,22,28,31
菊池桃子(きくちももこ)(俳優),46.478874,1.549295775,39.39394,2.363636364,21.212122,1.878787879,24.242424,1.909090909,30.303032,2.060606061,9.090909,1.272727273,9.090909,1.303030303,9.090909,1.363636364,10.30303,71,13,14,20,24
長谷川博己(はせがわひろき)(俳優),38.095238,1.226190476,56.25,2.75,50,2.5,21.875,1.96875,34.375,1.96875,18.75,1.65625,6.25,1.46875,12.5,1.40625,14.6875,84,15,22,21,26
豊川悦司(とよかわえつし)(俳優),46.153847,1.423076923,33.333336,2.361111111,44.444447,2.25,27.777779,2,22.222223,1.805555556,19.444445,1.694444444,13.888889,1.666666667,13.888889,1.583333333,18.333332,78,15,17,21,25
水川あさみ(みずかわあさみ)(俳優),30.63063,1.198198198,61.764706,2.705882353,38.235294,2.235294118,29.411766,2.029411765,32.352943,2,20.588236,1.647058824,20.588236,1.647058824,17.647058,1.676470588,19.11765,111,29,28,25,29
松下奈緒(まつしたなお)(俳優),41.666664,1.30952381,51.428574,2.6,34.285717,1.971428571,20,1.828571429,28.57143,1.885714286,17.142859,1.6,2.857143,1.457142857,20,1.771428571,25.42857,84,16,19,25,24
吉田沙保里(よしださおり)(元女子レスリング選手),60.416668,1.760416667,43.103447,2.448275862,8.620689,1.327586207,12.068965,1.448275862,29.310345,1.74137931,8.620689,1.189655172,5.172414,1.172413793,6.8965516,1.275862069,12.586206,96,24,24,23,25
薬師丸ひろ子(やくしまるひろこ)(俳優),45.744682,1.659574468,30.232557,2.348837209,27.906979,2.046511628,20.930233,1.744186047,23.255816,1.790697674,13.953489,1.465116279,6.9767447,1.325581395,4.6511626,1.093023256,12.325582,94,22,24,19,29
上川隆也(かみかわたかや)(俳優),37.7193,1.333333333,48.837208,2.627906977,46.51163,2.279069767,41.860466,2.186046512,27.906979,1.76744186,18.60465,1.581395349,9.302325,1.418604651,13.953489,1.348837209,16.04651,114,22,24,41,26
よゐこ(よいこ)(芸人コンビ),52.439022,1.646341463,48.837208,2.558139535,11.627908,1.395348837,18.60465,1.441860465,30.232557,1.953488372,11.627908,1.186046512,11.627908,1.186046512,9.302325,1.139534884,11.16279,82,16,17,27,22
吉田鋼太郎(よしだこうたろう)(俳優),37.623764,1.168316832,57.894737,2.815789474,39.473686,2.210526316,42.105263,2.342105263,39.473686,2.131578947,13.157895,1.526315789,18.421053,1.657894737,7.8947363,1.289473684,9.473684,101,20,30,25,26
釈由美子(しゃくゆみこ)(俳優),52.380955,1.630952381,40.909092,2.431818182,20.454546,1.818181818,15.909091,1.659090909,34.090908,1.818181818,9.090909,1.136363636,11.363637,1.159090909,18.181818,1.340909091,14.772728,84,16,19,22,27
藤原紀香(ふじわらのりか)(俳優),62.222225,1.788888889,33.92857,2.285714286,19.642857,1.625,17.857143,1.553571429,25,1.678571429,8.928572,1.25,5.357143,1.214285714,12.5,1.357142857,11.249999,90,21,22,24,23
新田真剣佑(あらたまっけんゆう)(俳優),47.560974,1.426829268,35.897438,2.435897436,33.333336,2.051282051,33.333336,1.923076923,28.20513,2,12.820514,1.461538462,10.256411,1.487179487,15.384616,1.41025641,13.846153,82,18,18,23,23
乃木坂46(のぎざかふぉーてぃーしっくす)(アイドルグループ),17.391304,1.119565217,43.75,2.625,25,2,31.25,1.9375,37.5,2.125,18.75,1.8125,18.75,1.875,31.25,2.1875,33.75,92,23,22,23,24
関口メンディー(せきぐちめんでぃー)(アーティスト)(元GENERATIONS、EXILE),46.391754,1.432989691,42.22222,2.444444444,13.333334,1.666666667,26.666668,1.822222222,40,2.2,6.666667,1.266666667,13.333334,1.311111111,15.555556,1.577777778,13.555555,97,23,23,24,27
小倉優子(おぐらゆうこ)(タレント),60.674156,1.786516854,35.185184,2.259259259,14.814815,1.462962963,12.962963,1.407407407,29.62963,1.87037037,7.4074073,1.203703704,5.555556,1.203703704,11.111112,1.388888889,13.518519,89,19,21,26,23
松下由樹(まつしたゆき)(俳優),41.58416,1.297029703,57.14286,2.738095238,28.57143,2.071428571,28.57143,1.904761905,33.333336,1.952380952,16.666668,1.380952381,11.904762,1.238095238,14.285715,1.452380952,15.476191,101,23,24,27,27
加藤浩次(かとうこうじ)(芸人)(極楽とんぼ),64.13044,1.913043478,38.98305,2.288135593,16.949154,1.457627119,15.254237,1.406779661,38.98305,1.86440678,8.474577,1.101694915,8.474577,1.13559322,5.0847454,1.016949153,5.9322042,92,19,24,26,23
郷ひろみ(ごうひろみ)(歌手),75.92593,2.12962963,28.04878,2.268292683,7.317073,1.268292683,10.97561,1.353658537,20.731707,1.56097561,4.8780484,1,4.8780484,1,7.317073,1.048780488,9.999999,108,28,25,28,26
小池徹平(こいけてっぺい)(俳優),53.50877,1.666666667,37.704918,2.426229508,26.229507,1.68852459,29.508198,1.737704918,22.950819,1.655737705,11.4754095,1.327868852,8.196721,1.295081967,9.836065,1.196721311,14.09836,114,22,24,41,26
とんねるず(芸人コンビ),74.44444,2.088888889,23.880596,2.089552239,14.925373,1.47761194,13.432837,1.417910448,28.35821,1.671641791,8.955224,1.194029851,8.955224,1.208955224,10.447762,1.119402985,11.044777,90,19,24,24,22
松下洸平(まつしたこうへい)(俳優),28.089888,0.97752809,72,2.96,64,2.6,56,2.48,60.000004,2.48,28,1.76,20,1.64,12,1.48,12,89,18,21,24,26
松本人志(まつもとひとし)(芸人)(ダウンタウン),87,2.44,24.13793,1.942528736,12.643679,1.287356322,12.643679,1.252873563,31.034481,1.724137931,5.7471266,1.022988506,9.195402,1.068965517,6.8965516,0.965517241,8.045978,100,25,23,26,26
濱口優(はまぐちまさる)(芸人)(よゐこ),50.63291,1.620253165,40,2.5,2.5,1.325,10,1.425,27.5,1.975,5,1.2,10,1.25,10,1.275,10.25,79,15,18,25,21
黒木華(くろきはる)(俳優),36.363636,1.159090909,68.75,2.84375,37.5,2.28125,40.625,2.21875,21.875,1.75,18.75,1.59375,18.75,1.53125,15.625,1.625,13.4375,88,19,20,22,27
山田孝之(やまだたかゆき)(俳優),42.708336,1.427083333,41.463413,2.536585366,21.95122,1.902439024,29.268291,2.024390244,24.390244,1.804878049,12.195122,1.536585366,17.073172,1.634146341,4.8780484,1.170731707,7.8048773,96,21,23,25,27
小島よしお(こじまよしお)(芸人),66.66667,1.878787879,33.333336,2.333333333,10.606061,1.424242424,12.121212,1.393939394,22.727274,1.651515152,6.060606,1.196969697,12.121212,1.242424242,7.575758,1.106060606,8.181819,99,25,24,22,28
小日向文世(こひなたふみよ)(俳優),45.098038,1.382352941,58.69565,2.739130435,36.95652,2.195652174,28.260868,2.043478261,19.565218,1.608695652,15.217391,1.5,8.695652,1.369565217,2.173913,1.065217391,6.521739,102,19,26,27,30
中尾明慶(なかおあきよし)(俳優),43.037975,1.392405063,55.88235,2.558823529,26.470589,2,35.294117,2.058823529,29.411766,1.911764706,5.882353,1.441176471,5.882353,1.558823529,2.9411764,1.176470588,11.176471,79,17,16,22,24
黒木瞳(くろきひとみ)(俳優)(元宝塚),55.6962,1.746835443,29.545454,2.090909091,27.272728,1.818181818,18.181818,1.681818182,22.727274,1.727272727,18.181818,1.454545455,15.909091,1.363636364,11.363637,1.568181818,14.090907,79,13,20,25,21
高田純次(たかだじゅんじ)(芸人),58.762886,1.773195876,40.35088,2.456140351,14.035088,1.438596491,19.298244,1.49122807,31.578945,1.894736842,3.508772,1.087719298,7.017544,1.175438596,3.508772,0.912280702,8.947369,97,24,24,26,23
YOASOBI(よあそび)(アーティスト),32.352943,1.37254902,69.69697,3.03030303,15.151516,1.454545455,15.151516,1.363636364,42.424244,1.848484848,9.090909,1.121212121,12.121212,1.181818182,15.151516,1.242424242,12.121213,102,23,25,25,27
柳楽優弥(やぎらゆうや)(俳優),35,1.24,57.14286,2.685714286,42.857143,2.314285714,25.714287,2.085714286,37.142857,2.057142857,11.428572,1.485714286,2.857143,1.428571429,5.714286,1.342857143,13.142858,100,22,25,22,30
ダンディ坂野(だんでぃさかの)(芸人),64.28571,1.845238095,37.037037,2.444444444,12.962963,1.203703704,12.962963,1.296296296,29.62963,1.888888889,9.259259,1,7.4074073,1.055555556,11.111112,1.037037037,11.851851,84,16,19,22,27
大沢あかね(おおさわあかね)(俳優),45.070423,1.408450704,37.5,2.46875,9.375,1.5,15.625,1.75,31.25,2.0625,9.375,1.4375,6.25,1.53125,9.375,1.5625,13.75,71,13,14,20,24
澤部佑(さわべゆう)(芸人)(ハライチ),44.11765,1.421568627,51.111115,2.577777778,13.333334,1.555555556,20,1.8,37.77778,2.2,8.888889,1.333333333,8.888889,1.377777778,4.4444447,1.155555556,10.000001,102,24,23,25,29
清水ミチコ(しみずみちこ)(芸人),52.12766,1.510638298,46.938778,2.551020408,18.367348,1.551020408,20.408163,1.591836735,36.734695,2.081632653,10.204082,1.142857143,10.204082,1.142857143,2.0408163,1.265306122,11.22449,94,25,19,25,25
藤井フミヤ(ふじいふみや)(歌手)(元チェッカーズ),59.375,1.78125,26.31579,2.315789474,14.035088,1.526315789,15.789473,1.473684211,21.052631,1.684210526,8.77193,1.245614035,5.263158,1.192982456,12.280702,1.245614035,10.350878,96,18,24,27,27
あの(歌手/タレント)(元ゆるめるモ!),52.173912,1.47826087,47.916664,2.458333333,18.75,1.5625,18.75,1.6875,35.416664,2.041666667,6.25,1.3125,8.333334,1.333333333,10.416666,1.416666667,10.208333,92,20,24,20,28
柳沢慎吾(やなぎさわしんご)(俳優/タレント),61.702126,1.787234043,34.482758,2.327586207,12.068965,1.465517241,15.517241,1.551724138,25.862068,1.810344828,10.344828,1.275862069,10.344828,1.24137931,1.7241379,1.017241379,8.275862,94,18,25,24,27
矢部浩之(やべひろゆき)(芸人)(ナインティナイン),71.929825,2,34.146343,2.317073171,4.8780484,1.182926829,4.8780484,1.195121951,25.609756,1.743902439,2.4390242,0.987804878,4.8780484,1.012195122,9.756097,1.085365854,7.804878,114,22,24,41,26
北村一輝(きたむらかずき)(俳優),34.042553,1.265957447,46.875,2.59375,31.25,2.15625,31.25,2.15625,34.375,2,18.75,1.59375,3.125,1.375,9.375,1.4375,10.3125,94,18,26,26,24
檀れい(だんれい)(俳優)(元宝塚),37.5,1.275,53.333336,2.7,26.666668,2.133333333,26.666668,1.966666667,23.333334,1.766666667,13.333334,1.433333333,10,1.366666667,13.333334,1.533333333,15.666667,80,18,16,23,23
三村マサカズ(みむらまさかず)(芸人)(さま～ず),53.571426,1.654761905,35.555557,2.466666667,15.555556,1.4,13.333334,1.4,33.333336,1.866666667,13.333334,1.222222222,13.333334,1.311111111,11.111112,1.155555556,14.222223,84,16,19,25,24
吉田羊(よしだよう)(俳優),32.258064,1.182795699,60.000004,2.633333333,36.666668,2.233333333,33.333336,2.166666667,30.000002,2.033333333,10,1.633333333,6.666667,1.666666667,10,1.566666667,14.666667,93,20,24,27,22
中条あやみ(なかじょうあやみ)(俳優/モデル),29.885057,1,57.692307,2.769230769,30.769232,2.269230769,19.23077,2.038461538,38.46154,2.076923077,23.076923,1.846153846,19.23077,1.730769231,38.46154,2.346153846,27.307693,87,15,25,21,26
back number(ばっくなんばー)(アーティスト),19.565218,0.934782609,72.22222,3.222222222,27.777779,2.166666667,27.777779,2,27.777779,2.055555556,22.222223,1.888888889,22.222223,1.833333333,11.111112,1.666666667,16.666668,92,19,23,22,28
井ノ原快彦(いのはらよしひこ)(アーティスト)(元V6),62.2449,1.836734694,37.704918,2.278688525,18.032785,1.459016393,13.114754,1.475409836,32.786884,1.836065574,8.196721,1.016393443,8.196721,1.098360656,8.196721,1.147540984,13.442622,98,21,23,25,28
森高千里(もりたかちさと)(歌手),37.23404,1.478723404,45.714287,2.514285714,20,1.6,14.285715,1.571428571,25.714287,1.742857143,20,1.371428571,8.571429,1.228571429,22.857143,1.571428571,21.142859,94,20,23,25,26
三浦知良(みうらかずよし)(サッカー選手),38.235294,1.450980392,33.333336,2.461538462,17.948719,1.58974359,15.384616,1.512820513,38.46154,2.051282051,15.384616,1.307692308,12.820514,1.282051282,20.512821,1.538461538,17.692307,102,22,24,28,28
仲村トオル(なかむらとおる)(俳優),45.28302,1.471698113,47.916664,2.604166667,35.416664,2.104166667,22.916668,1.791666667,22.916668,1.5625,14.583333,1.3125,16.666668,1.270833333,10.416666,1.1875,12.916666,106,26,23,26,30
陣内孝則(じんないたかのり)(俳優),49.425285,1.551724138,30.232557,2.348837209,18.60465,1.76744186,23.255816,1.813953488,27.906979,1.930232558,20.930233,1.488372093,16.27907,1.372093023,6.9767447,1.139534884,8.604651,87,21,18,23,25
貫地谷しほり(かんじやしほり)(俳優),31,1.17,54.83871,2.709677419,29.032257,2.258064516,29.032257,2.129032258,19.354837,2,6.4516125,1.516129032,9.677419,1.516129032,6.4516125,1.516129032,12.903226,100,22,25,22,30
井森美幸(いもりみゆき)(タレント),53.333336,1.566666667,37.5,2.5,8.333334,1.395833333,10.416666,1.479166667,35.416664,2.0625,2.0833335,1.145833333,2.0833335,1.208333333,4.166667,1.166666667,10.000001,90,21,21,23,25
シソンヌ(芸人コンビ),21.794872,0.923076923,70.588234,2.941176471,23.529411,2.058823529,41.17647,2.411764706,64.70589,2.882352941,17.647058,1.705882353,23.529411,1.764705882,5.882353,1.529411765,17.058826,78,15,17,21,25
Ado(あど)(歌手),30.769232,1.336538462,53.125,2.71875,21.875,1.625,15.625,1.5,31.25,1.96875,15.625,1.34375,12.5,1.28125,12.5,1.40625,8.75,104,25,26,23,30
花江夏樹(はなえなつき)(声優),16.346153,0.721153846,88.2353,3.294117647,41.17647,2.529411765,41.17647,2.588235294,64.70589,3,23.529411,2,29.411766,2,17.647058,2,24.705883,104,25,24,27,28
小林幸子(こばやしさちこ)(歌手),63.15789,1.929824561,30.555555,2.291666667,8.333334,1.305555556,9.722222,1.375,23.61111,1.666666667,6.9444447,1.055555556,5.555556,1.097222222,5.555556,1.041666667,7.6388893,114,22,24,41,26
秋山竜次(あきやまりゅうじ)(芸人)(ロバート),52.47525,1.534653465,43.396225,2.490566038,22.64151,1.603773585,20.754717,1.641509434,39.622643,2.169811321,9.433963,1.094339623,7.5471697,1.169811321,5.6603775,1,8.301886,101,20,30,25,26
ロバート(芸人トリオ),31.25,1.325,56,2.8,20,1.4,32,1.68,52,2.24,8,1.16,12,1.16,20,1.16,16.8,80,14,20,24,22
水野美紀(みずのみき)(俳優),26.470589,1.18627451,55.555557,2.666666667,25.925926,2.111111111,29.62963,2.185185185,25.925926,1.962962963,22.222223,1.703703704,14.814815,1.555555556,7.4074073,1.407407407,11.851852,102,19,26,27,30
古田新太(ふるたあらた)(俳優),37.634407,1.301075269,31.428572,2.371428571,42.857143,2.285714286,40,2.285714286,28.57143,2,22.857143,1.714285714,17.142859,1.657142857,8.571429,1.342857143,7.428572,93,17,23,23,30
高島礼子(たかしまれいこ)(俳優),48.863636,1.5,37.2093,2.418604651,16.27907,1.88372093,11.627908,1.697674419,18.60465,1.76744186,9.302325,1.395348837,6.9767447,1.279069767,6.9767447,1.302325581,13.023256,88,17,24,25,22
松坂慶子(まつざかけいこ)(俳優),43,1.44,46.51163,2.511627907,27.906979,1.953488372,16.27907,1.837209302,23.255816,1.790697674,6.9767447,1.372093023,2.3255813,1.302325581,2.3255813,1.186046512,6.2790704,100,22,25,22,30
椿鬼奴(つばきおにやっこ)(芸人),37.5,1.322916667,47.22222,2.583333333,22.222223,1.75,19.444445,1.722222222,41.666664,2.111111111,8.333334,1.333333333,11.111112,1.388888889,11.111112,1.361111111,9.722223,96,24,24,23,25
なにわ男子(なにわだんし)(アーティスト),21.052631,1.157894737,60.000004,2.75,30.000002,1.65,40,1.75,60.000004,2.35,15.000001,1.25,20,1.35,20,1.7,27.5,95,19,25,26,24
中島美嘉(なかしまみか)(歌手),40,1.473684211,34.210526,2.421052632,13.157895,1.736842105,10.526316,1.605263158,15.789473,1.736842105,7.8947363,1.342105263,5.263158,1.315789474,15.789473,1.552631579,10.263159,95,19,25,26,24
池江璃花子(いけえりかこ)(競泳選手),45.652176,1.434782609,50,2.666666667,19.047619,1.547619048,14.285715,1.452380952,30.952381,1.904761905,7.1428576,1.047619048,9.523809,1.047619048,9.523809,1.404761905,11.428572,92,20,19,23,29
宮崎美子(みやざきよしこ)(俳優),45.360825,1.309278351,47.727272,2.590909091,29.545454,2.022727273,20.454546,1.75,34.090908,1.954545455,13.636364,1.454545455,9.090909,1.295454545,11.363637,1.386363636,19.545458,97,23,23,24,27
相田翔子(あいだしょうこ)(タレント)(元Wink),35,1.3625,46.42857,2.535714286,17.857143,1.821428571,17.857143,1.75,32.142857,1.964285714,3.5714288,1.357142857,0,1.321428571,10.714286,1.392857143,11.428573,80,15,20,21,24
松尾駿(まつおしゅん)(芸人)(チョコレートプラネット),29.761904,0.952380952,64,2.88,40,2.04,52,2.32,68,2.8,12,1.52,20,1.8,12,1.52,17.6,84,18,21,22,23
田中みな実(たなかみなみ)(俳優)(元TBSテレビアナウンサー),37.77778,1.366666667,38.235294,2.352941176,14.705883,1.823529412,14.705883,1.794117647,26.470589,2.088235294,2.9411764,1.411764706,0,1.352941176,14.705883,1.676470588,12.058825,90,19,24,24,22
黒沢かずこ(くろさわかずこ)(芸人)(森三中),44.554455,1.485148515,44.444447,2.533333333,13.333334,1.333333333,20,1.511111111,35.555557,2.133333333,15.555556,1.311111111,8.888889,1.288888889,6.666667,1.088888889,8.444445,101,24,23,23,31
山本美月(やまもとみづき)(俳優),28.169016,0.985915493,60.000004,2.7,40,2.4,15.000001,2.1,20,2.1,20,2.05,15.000001,1.95,25,2.05,20,71,13,14,20,24
小芝風花(こしばふうか)(俳優),33.333336,1.142857143,53.571426,2.785714286,21.428572,1.892857143,25,1.928571429,25,2,10.714286,1.642857143,10.714286,1.642857143,3.5714288,1.464285714,11.071429,84,15,22,21,26
武田真治(たけだしんじ)(俳優),50.574715,1.505747126,47.727272,2.409090909,13.636364,1.545454545,20.454546,1.704545455,27.272728,1.772727273,9.090909,1.340909091,11.363637,1.363636364,13.636364,1.409090909,9.318183,87,19,19,24,25
萩本欽一(はぎもときんいち)(芸人),61.165047,1.747572816,33.333336,2.333333333,11.111112,1.428571429,12.698414,1.46031746,33.333336,1.873015873,1.5873017,1.126984127,3.1746035,1.063492063,4.7619047,1.063492063,5.7142854,103,25,24,26,28
藤本美貴(ふじもとみき)(タレント)(元モーニング娘。),47,1.5,44.68085,2.489361702,12.765958,1.404255319,8.510638,1.404255319,42.553192,2.212765957,2.1276596,1.063829787,2.1276596,1.106382979,10.638298,1.276595745,14.893619,100,19,22,28,31
生田絵梨花(いくたえりか)(俳優/アイドル)(元乃木坂46),17.777779,0.855555556,68.75,2.9375,43.75,2.4375,56.25,2.5,43.75,2.3125,12.5,1.875,12.5,1.9375,25,2.1875,24.375,90,17,22,24,27
メイプル超合金(めいぷるちょうごうきん)(芸人コンビ),40,1.344444444,44.444447,2.611111111,16.666668,1.472222222,16.666668,1.527777778,55.555557,2.361111111,8.333334,1.166666667,8.333334,1.194444444,19.444445,1.305555556,13.611113,90,17,23,26,24
千葉雄大(ちばゆうだい)(俳優),30.392159,1.137254902,64.51613,2.741935484,22.580645,1.967741935,35.48387,2.193548387,16.129032,1.838709677,9.677419,1.580645161,12.903225,1.580645161,12.903225,1.64516129,10.967742,102,19,26,27,30
EXILE ATSUSHI(えぐざいるあつし)(歌手),49.484535,1.546391753,39.583336,2.541666667,12.5,1.395833333,14.583333,1.395833333,29.166666,1.708333333,10.416666,1.208333333,12.5,1.145833333,14.583333,1.375,14.166667,97,19,24,26,28
浅田真央(あさだまお)(フィギュアスケート選手),67.34694,1.918367347,42.424244,2.484848485,1.5151515,1.045454545,3.030303,1.075757576,27.272728,1.651515152,1.5151515,0.803030303,1.5151515,0.787878788,6.060606,1.151515152,10.909092,98,20,23,25,30
渡部篤郎(わたべあつろう)(俳優),36.666668,1.322222222,39.39394,2.545454545,27.272728,1.96969697,15.151516,1.878787879,21.212122,1.757575758,15.151516,1.484848485,9.090909,1.363636364,12.121212,1.484848485,13.333334,90,21,21,23,25
トレンディエンジェル(芸人コンビ),41.935482,1.35483871,48.71795,2.538461538,17.948719,1.615384615,23.076923,1.769230769,38.46154,2.205128205,7.692308,1.205128205,12.820514,1.384615385,12.820514,1.256410256,13.589743,93,17,23,23,30
冨永愛(とみながあい)(モデル),36.47059,1.282352941,38.709675,2.419354839,22.580645,1.935483871,19.354837,1.838709677,19.354837,1.870967742,22.580645,1.580645161,16.129032,1.451612903,22.580645,1.870967742,20.64516,85,18,19,25,23
福士蒼汰(ふくしそうた)(俳優),30.000002,1.244444444,48.148148,2.555555556,29.62963,2.037037037,33.333336,1.962962963,33.333336,2.074074074,11.111112,1.296296296,7.4074073,1.37037037,18.518518,1.555555556,19.25926,90,21,22,24,23
名倉潤(なぐらじゅん)(芸人)(ネプチューン),64.35644,1.861386139,26.153847,2.230769231,12.307693,1.338461538,13.846154,1.323076923,26.153847,1.723076923,6.1538463,1.138461538,6.1538463,1.107692308,6.1538463,1.153846154,6.769231,101,24,26,22,29
